match_id,comment_id,label
999001,1001,2
999001,1002,0
2376884,64878337,1
2376884,64900244,1
2376884,64900250,1
2376884,64925527,1
2376884,64927813,1
2376884,64944791,0
2376884,64950789,1
2376884,64953331,1
2376884,64953334,1
2376884,64965187,1
2376884,64975531,1
2376884,64981652,1
2376884,64982972,1
2376884,64983378,1
2376884,64983417,1
2376884,64983454,1
2376884,64983457,1
2376884,64983470,1
2376884,64983474,2
2376884,64983554,1
2376884,64983777,2
2376884,64983883,1
2376884,64983967,1
2376884,64984206,2
2376884,64984410,1
2376884,64984507,1
2376884,64984540,1
2376884,64984979,1
2376884,64985186,2
2376884,64985335,1
2376884,64985400,1
2376884,64985601,1
2376884,64985791,1
2376884,64985800,1
2376884,64985841,1
2376884,64986054,1
2376884,64986192,1
2376884,64986351,1
2376884,64986373,1
2376884,64986374,1
2376884,64986534,1
2376884,64986629,1
2376884,64986758,0
2376884,64986788,1
2376884,64986797,1
2376884,64986809,1
2376884,64986867,1
2376884,64986898,2
2376884,64986943,2
2376884,64986960,1
2376884,64986981,1
2376884,64986998,1
2376884,64987012,1
2376884,64987037,1
2376884,64987155,1
2376884,64987194,1
2376884,64987217,1
2376884,64987280,0
2376884,64987292,2
2376884,64987349,1
2376884,64987398,1
2376884,64987413,2
2376884,64987420,1
2376884,64987448,1
2376884,64987451,2
2376884,64987465,0
2376884,64987541,1
2376884,64987605,1
2376884,64987639,2
2376884,64987666,1
2376884,64987670,1
2376884,64987894,1
2376884,64987902,1
2376884,64987906,2
2376884,64988003,1
2376884,64988099,1
2376884,64988111,1
2376884,64988202,1
2376884,64988263,1
2376884,64988281,1
2376884,64988385,1
2376884,64988466,0
2376884,64988509,2
2376884,64988513,1
2376884,64988517,1
2376884,64988523,1
2376884,64988592,1
2376884,64988605,1
2376884,64988610,1
2376884,64988618,1
2376884,64988664,1
2376884,64988671,1
2376884,64988675,2
2376884,64988677,1
2376884,64988679,2
2376884,64988685,2
2376884,64988694,1
2376884,64988698,1
2376884,64988738,1
2376884,64988776,1
2376884,64988807,2
2376884,64988811,2
2376884,64988820,1
2376884,64988871,1
2376884,64988883,1
2376884,64988889,1
2376884,64989138,1
2376884,64989283,1
2376884,64989686,1
2376884,64991984,1
2376884,64994962,1
2376884,64996359,0
2389969,68567873,1
2389969,68567875,1
2389969,68567886,1
2389969,68567895,1
2389969,68567910,0
2389969,68567980,2
2389969,68567987,1
2389969,68568018,1
2389969,68568342,1
2389969,68568450,1
2389969,68568610,0
2389969,68568619,1
2389969,68568696,1
2389969,68568906,1
2389969,68568981,1
2389969,68569084,1
2389969,68569104,2
2389969,68569225,2
2389969,68569257,1
2389969,68569260,0
2389969,68569265,1
2389969,68569296,1
2389969,68569662,1
2389969,68569665,1
2389969,68569974,0
2389969,68570093,1
2389969,68570292,2
2389969,68573585,2
2389969,68573798,1
2389969,68574255,1
2389969,68574332,1
2389969,68575220,0
2389969,68575236,1
2389969,68575394,1
2389969,68575513,1
2389969,68575558,1
2389969,68575588,1
2389969,68575616,1
2389969,68575636,1
2389969,68575643,2
2389969,68575680,1
2389969,68575887,1
2389969,68575920,1
2389969,68576013,1
2389969,68576044,1
2389969,68576064,2
2389969,68576070,1
2389969,68576111,1
2389969,68576130,1
2389969,68576139,1
2389969,68576245,1
2389969,68576252,1
2389969,68576277,1
2389969,68576311,2
2389969,68576430,2
2389969,68576500,1
2389969,68576517,1
2389969,68576631,1
2389969,68576743,1
2389969,68577010,1
2389969,68577218,1
2389969,68577240,2
2389969,68577274,1
2389969,68577280,2
2389969,68577302,1
2389969,68577369,1
2389969,68577393,1
2389969,68577413,1
2389969,68577420,1
2389969,68577452,1
2389969,68577477,0
2389969,68577491,1
2389969,68577493,1
2389969,68577503,1
2389969,68577504,2
2389969,68577505,2
2389969,68577539,1
2389969,68577570,1
2389969,68577573,1
2389969,68577588,1
2389969,68577654,2
2389969,68577671,2
2389969,68577933,1
2389969,68578367,1
2389969,68578455,1
2389969,68578656,1
2389969,68578935,1
2389969,68581390,1
2391775,68774104,1
2391775,68821658,1
2391775,68822621,1
2391775,68831920,1
2391775,68835278,1
2391775,68838344,1
2391775,68838350,1
2391775,68839322,1
2391775,68848169,1
2391775,68850198,1
2391775,68858486,1
2391775,68859673,2
2391775,68859841,1
2391775,68861064,1
2391775,68863026,1
2391775,68863739,1
2391775,68864702,1
2391775,68865715,1
2391775,68865878,1
2391775,68866027,1
2391775,68866046,1
2391775,68866152,1
2391775,68866435,1
2391775,68866447,1
2391775,68866505,1
2391775,68867273,2
2391775,68867540,1
2391775,68867668,1
2391775,68867845,1
2391775,68867849,1
2391775,68868134,1
2391775,68868170,1
2391775,68868237,2
2391775,68868484,1
2391775,68868497,1
2391775,68868519,1
2391775,68868533,1
2391775,68868606,1
2391775,68868628,1
2391775,68868653,1
2391775,68868668,1
2391775,68868673,1
2391775,68868709,1
2391775,68868753,1
2391775,68868804,1
2391775,68868842,2
2391775,68868866,0
2391775,68868924,1
2391775,68868943,2
2391775,68868989,1
2391775,68869191,1
2391775,68869225,1
2391775,68869245,1
2391775,68869286,1
2391775,68869596,0
2391775,68869679,1
2391775,68869781,2
2391775,68869963,1
2391775,68869973,1
2391775,68869976,1
2391775,68869981,1
2391775,68869987,2
2391775,68870001,1
2391775,68870141,1
2391775,68870154,1
2391775,68870160,1
2391775,68870170,0
2391775,68870255,1
2391775,68870284,2
2391775,68870295,0
2391775,68870332,2
2391775,68870447,1
2391775,68870484,2
2391775,68870499,1
2391775,68870653,0
2391775,68870695,1
2391775,68870765,2
2391775,68870766,2
2391775,68870837,1
2391775,68871077,1
2391775,68871119,1
2391775,68871161,1
2391775,68871192,1
2391775,68871234,0
2391775,68871261,0
2391775,68871378,1
2391775,68871381,1
2391775,68871393,2
2391775,68871416,0
2391775,68871429,2
2391775,68871623,1
2391775,68871668,2
2391775,68871673,0
2391775,68871835,2
2391775,68872331,0
2391775,68874633,1
2391775,68874862,2
2391775,68874933,1
2391775,68876246,1
2391775,68876542,2
2391775,68876776,1
2391775,68876777,1
2391775,68877057,1
2391775,68878188,1
2391775,68878566,2
2391775,68880413,1
2393039,68948881,1
2393039,68950128,1
2393039,68950729,1
2393039,68950761,2
2393039,68950771,1
2393039,68950802,1
2393039,68950874,1
2393039,68950896,1
2393039,68950926,1
2393039,68951080,1
2393039,68951172,0
2393039,68951234,1
2393039,68951256,1
2393039,68951384,1
2393039,68951744,1
2393039,68951858,1
2393039,68952346,1
2393039,68952356,1
2393039,68952702,1
2393039,68952781,0
2393039,68952950,0
2393039,68953073,1
2393039,68953077,1
2393039,68953078,1
2393039,68953172,2
2393039,68953195,1
2393039,68953237,0
2393039,68953275,1
2393039,68953336,1
2393039,68953351,1
2393039,68953382,1
2393039,68953425,2
2393039,68953451,1
2393039,68953454,2
2393039,68953473,1
2393039,68953488,1
2393039,68953497,1
2393039,68953546,1
2393039,68953575,1
2393039,68953622,1
2393039,68953632,0
2393039,68953652,1
2393039,68953748,1
2393039,68953750,0
2393039,68953760,1
2393039,68953800,2
2393039,68953801,0
2393039,68953824,1
2393039,68953848,1
2393039,68953853,0
2393039,68953893,1
2393039,68953900,1
2393039,68953949,1
2393039,68953952,1
2393039,68953958,1
2393039,68953966,2
2393039,68953994,1
2393039,68953999,1
2393039,68954029,1
2393039,68954032,1
2393039,68954081,1
2393039,68954084,0
2393039,68954137,1
2393039,68954181,0
2393039,68954230,2
2393039,68954270,1
2393039,68954271,1
2393039,68954313,1
2393039,68954314,1
2393039,68954356,1
2393039,68954357,2
2393039,68954358,1
2393039,68954359,1
2393039,68954361,2
2393039,68954363,1
2393039,68954364,1
2393039,68954367,1
2393039,68954368,1
2393039,68954370,1
2393039,68954386,1
2393039,68954414,1
2393039,68954467,2
2393039,68954472,1
2393039,68954519,2
2393039,68954558,1
2393039,68954586,1
2393039,68955520,1
2393039,68956631,1
2393039,68956775,1
2393039,68957866,0
2393039,68959114,1
2393040,68944523,0
2393040,68950702,1
2393040,68950769,2
2393040,68950785,2
2393040,68950805,2
2393040,68950809,1
2393040,68950932,2
2393040,68950956,1
2393040,68951019,1
2393040,68951056,1
2393040,68951148,1
2393040,68951258,1
2393040,68951335,0
2393040,68951426,1
2393040,68952034,1
2393040,68952541,1
2393040,68952681,1
2393040,68952692,1
2393040,68952983,2
2393040,68953085,1
2393040,68953139,1
2393040,68953158,2
2393040,68953232,0
2393040,68953294,1
2393040,68953690,1
2393040,68953774,1
2393040,68953845,2
2393040,68954228,1
2393040,68954316,1
2393040,68954377,1
2393040,68954436,1
2393040,68954490,1
2393040,68954520,1
2393040,68954530,2
2393040,68954660,1
2393040,68954723,1
2393040,68954733,1
2393040,68954739,1
2393040,68954778,2
2393040,68954849,1
2393040,68954858,1
2393040,68954876,0
2393040,68954914,1
2393040,68954918,1
2393040,68955057,2
2393040,68955058,1
2393040,68955223,0
2393040,68955229,1
2393040,68955261,2
2393040,68955270,1
2393040,68955287,2
2393040,68955321,1
2393040,68955322,1
2393040,68955351,1
2393040,68955355,1
2393040,68955374,1
2393040,68955442,1
2393040,68955525,1
2393040,68955528,1
2393040,68955547,1
2393040,68955551,1
2393040,68955558,1
2393040,68955593,1
2393040,68955601,1
2393040,68955612,1
2393040,68955627,2
2393040,68955635,1
2393040,68955679,1
2393040,68955695,1
2393040,68955780,1
2393040,68955792,1
2393040,68955798,0
2393040,68955821,1
2393040,68955826,0
2393040,68955896,1
2393040,68955904,1
2393040,68955917,1
2393040,68955920,1
2393040,68955921,1
2393040,68955959,2
2393040,68955960,1
2393040,68955961,1
2393040,68955963,2
2393040,68955973,2
2393040,68955981,1
2393040,68956005,1
2393040,68956024,2
2393040,68956061,1
2393040,68956105,1
2393040,68956147,1
2393040,68956207,1
2393040,68956244,1
2393040,68956264,2
2393040,68956341,2
2393040,68956440,0
2393040,68957936,2
2393040,68958033,2
2393040,68958174,0
2393040,68959991,1
2393040,68960297,1
2393040,68963460,1
